,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
mamaison-pokrovka-suite.ru.html,,,1,,,1,,,,,1,,1,1,,,,,,,,,,,,1,1,,,,6608,5,7,Mamaison All-Suites Spa Hotel Покровка,1032," 8,8 ",mamaison-pokrovka-suite.ru.html,,"2,2",,"2,2",,,,"2,3","2,5",,"6,5",,,"1,9",,"2,7","8,1","3,1",4,
gostevoi-dom-quot-miakinino-quot.ru.html,,,,,,,1,,,,1,,1,1,,,,,,1,,,,,,,1,1,,,100000,-,7,Коттедж у реки в Мякинино,-,-,gostevoi-dom-quot-miakinino-quot.ru.html,,"16,2","11,7","16,6",,,,"16,5","16,4",,"16,9",,"4,2",,,16,"15,3",,"15,2",
kebu-palace.ru.html,,,1,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,1,,,13040,4,7,Отель Кебур Палас,370," 8,5 ",kebu-palace.ru.html,,"2,7",,"2,3",,,,"2,2","1,9",,"2,7",,,"2,4",,5,"3,7","1,5","1,2",
felix-moskva.ru.html,1,,1,,,,,,,,1,,,1,,,,,,1,1,,,,,,,,,,5610,4,6,,49," 7,9 ",felix-moskva.ru.html,,"0,6","4,6","1,2",,,,"1,2","1,4",,,,,"1,7",,2,"6,7","2,6","2,2",
tverskaia-zastava.ru.html,1,,1,,,,,,,,1,,,1,,,,,,1,,,,1,,,,,,,5300,-,6,,76," 8,4 ",tverskaia-zastava.ru.html,,3,"2,4","3,4",,,,"3,3","3,4",,,,,4,,"3,3","6,4","4,4","2,6",
apart-hotel-suharevsky.ru.html,1,,1,,,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,7200,4,6,,1379," 8,6 ",apart-hotel-suharevsky.ru.html,,"1,9","5,3","2,3",,,,"2,3","2,6",,,,,"2,5",,"1,2","8,2","3,7","3,8",
maroseika-2.ru.html,1,,1,,,,,1,,,1,,,1,,1,,,,,,,,,,,,,,,6500,3,6,,1633," 9,0 ",maroseika-2.ru.html,,"0,9","5,9",,,"8,5",,"0,8","1,1",,"5,3",,,,,"2,7","6,7","1,9","2,6",
sheraton-moscow-sheremetyevo-airport.ru.html,,,,1,,1,,,,,,,1,1,,,,,,1,,1,,,,,1,,,,7332,5,7,Гостиница Шератон Москва Шереметьево Аэропорт,983," 9,0 ",sheraton-moscow-sheremetyevo-airport.ru.html,,,"19,7",,"16,7",,,,,,,,"14,6",,"15,2",,,,,
russian-seasons-boutique.ru.html,,,1,,,1,,,,,1,,1,1,,,,,,1,,,1,,,,,,,,12341,5,7,Русские Сезоны Бутик Отель,120," 8,8 ",russian-seasons-boutique.ru.html,,"1,3","3,8","1,8",,,,"1,8",2,,,,,"2,4",,2,"6,6","3,1","2,2",
marco-polo-presnja.ru.html,,,1,,,1,,,,,1,,,1,,,,,,1,1,,,,,1,,,,,5310,4,7,Марко Поло Пресня Отель,1131," 8,6 ",marco-polo-presnja.ru.html,,"1,5","3,9","1,9",,,,"1,8","1,8",,,,,"2,5",,"2,9","5,8","2,8","1,4",
golden-ring.ru.html,,,1,,,1,,,,,1,,,1,,,,,,1,1,,,,,1,,,,,6000,5,7,Отель Золотое кольцо,4080," 8,8 ",golden-ring.ru.html,,"2,9","5,2","2,8",,,,"2,6","2,4",,"3,3",,,"3,1",,"4,9","3,7","2,5",,
hilton-moscow-leningradskaya.ru.html,,,,,,1,,,,,,1,1,1,,,,,,1,,1,,,,,1,,,,6630,5,7,Хилтон Москва Ленинградская,2824," 8,4 ",hilton-moscow-leningradskaya.ru.html,,"2,6","6,1","2,9",,,,3,"3,3",,,,,"2,9",,"1,8","8,9","4,1","4,6",
national.ru.html,,,1,,,1,,,,,1,1,,1,,,,,,1,,,,,,,1,,,,16992,5,7,Гостиница Националь,2369," 8,9 ",national.ru.html,,,"5,1","0,5",,"9,5",,,"0,5",,"4,8",,,"1,1",,"2,8","5,9","1,7","1,5",
marriott-moscow-royal-aurora.ru.html,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,13500,5,7,,944," 8,9 ",marriott-moscow-royal-aurora.ru.html,,,"4,7",1,,,,1,"1,2",,"5,5",,,"1,6",,"2,1","6,6","2,4","2,1",
the-rooms-hotel-moscow.ru.html,,,1,,,1,,,,,1,,,1,,,,,,1,1,,1,,,,,,,,7490,5,7,,207," 7,6 ",the-rooms-hotel-moscow.ru.html,,"2,9",,"2,5",,,,"2,6","2,6",,"5,6",,,"1,9",,"4,3","7,4","2,5","4,1",
golden-rooms.ru.html,,,1,,,1,,,,,1,,,1,,,,,,1,1,,1,,,,,,,,3990,-,7,Голден Румс Отель,99," 8,6 ",golden-rooms.ru.html,,"2,9",,"2,5",,,,"2,6","2,6",,"5,6",,,"1,9",,"4,3","7,4","2,5","4,1",
aquamarine.ru.html,,,,,,1,,,,,,1,1,1,,,,,,1,,,1,,,1,,,,,4860,4,7,Отель Аквамарин,2737," 9,2 ",aquamarine.ru.html,,"2,6","7,5",2,,,,2,"1,9",,4,,,"1,4",,"4,7","5,9",,3,
sadovnicheskaya-city-center.ru.html,,,1,,,1,,,,,1,,,1,,,,,,1,1,,1,,,,,,,,7000,4,7,,82," 8,9 ",sadovnicheskaya-city-center.ru.html,,"1,7","6,7","1,1",,,"9,1","1,1",1,,"4,3",,,,,"3,8","5,9",,"2,4",
metropol-moscow.ru.html,,,1,,,1,,,,,,,1,1,,,,,,1,,1,,,,,1,,,,12744,5,7,Гостиница Метрополь,2559," 8,9 ",metropol-moscow.ru.html,,,"5,3","0,5",,,,"0,5","0,8",,"5,2",,,1,,"2,5","6,4","1,9",2,
villa-kadashi-boutique.ru.html,1,,1,,,1,,,,,,,,1,,,,,,1,1,,1,,,,,,,,10500,4,7,Вилла Кадаши Бутик Отель,666," 9,3 ",villa-kadashi-boutique.ru.html,,"1,8","6,6","1,2",,,,"1,2",1,,"3,7",,,"0,9",,"4,2","5,3",,"1,9",
moscow-marriott-novy-arbat.ru.html,1,,,,,1,,,,,,1,,1,,,,,,1,1,,1,,,,,,,,9120,5,7,Москва Марриотт Отель Новый Арбат,913," 8,2 ",moscow-marriott-novy-arbat.ru.html,,"2,5","4,4","2,6",,,,"2,5","2,3",,"4,1",,,3,,"4,2","4,5","2,8",,
moscow-ritz.ru.html,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,30000,5,7,Ритц-Карлтон Москва,647," 9,1 ",moscow-ritz.ru.html,,,5,"0,6",,,,"0,5","0,7",,"4,9",,,"1,2",,"2,8","5,9","1,8","1,5",
petroff-palace.ru.html,,,1,,,1,,,,,1,,1,1,,,,,,,,,,,,1,1,,,,5700,5,7,Петровский Путевой Дворец - бутик-отель,1056," 8,7 ",petroff-palace.ru.html,,"5,5",,6,,,,6,"6,1",,,,"7,6","6,6",,"4,8","8,6","7,1","5,4",
intercontinental-moscow-tverskaya.ru.html,1,,,,,1,,,,,,1,,,,,,,,1,,,1,1,,1,,,,,9600,5,7,Гостиница Интерконтиненталь Москва Тверская,1171," 8,7 ",intercontinental-moscow-tverskaya.ru.html,,"1,4","3,7","1,9",,,,"1,9",2,,,,,"2,5",,"2,2","6,5","3,1",2,
kadashevskaya.ru.html,,,1,,,1,,,,,1,1,,1,,,,,,1,1,,,,,,,,,,7000,4,7,Гостиница Кадашевская,629," 8,6 ",kadashevskaya.ru.html,,"1,7","6,4","1,1",,,,1,"0,8",,"3,8",,,"0,8",,4,"5,3",,"1,9",
savoy.ru.html,,,1,,,1,,,,,,1,,1,,,,,,1,,,,,,,1,1,,,11800,5,7,Савой,1884," 9,0 ",savoy.ru.html,,,"5,2","0,7",,,,"0,7",1,,"5,4",,,"1,1",,"2,3","6,6","2,2","2,2",
ararat-park-hyatt.ru.html,,,,,,1,,,,,,1,,1,,,,,,1,,1,,,,1,1,,,,23460,5,7,Арарат Парк Хаятт,470," 9,3 ",ararat-park-hyatt.ru.html,,,"5,2","0,6",,,,"0,6","0,9",,"5,3",,,"1,1",,"2,4","6,5","2,1","2,1",
swissotel-krasnye-holmy.ru.html,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,12480,5,7,,1162," 9,1 ",swissotel-krasnye-holmy.ru.html,,"3,4",,"2,8",,,,"2,8","2,7",,"4,1",,,"2,2",,"5,4","6,1","1,8","3,7",
central-moscow-inn.ru.html,,,,1,,,,,,,1,,,1,,1,,,,1,1,,,,,,,,,,4500,-,6,,96," 8,2 ",central-moscow-inn.ru.html,,"2,7","2,4","3,3",,,,"3,2","3,3",,,,,"3,9",,"2,6",7,"4,4",3,
lotte-moscow.ru.html,,,,,,1,,,,,1,,1,1,,,,,,,,1,,,,1,1,,,,31860,5,7,,279," 9,4 ",lotte-moscow.ru.html,,"2,4","4,8","2,4",,,,"2,3","2,1",,"3,8",,,"2,8",,"4,4","4,3","2,5",,
of-the-komi-representative-office.ru.html,,,,,,,,,,,1,,1,1,,,,,,1,,,,,,1,1,,,,5000,3,6,Бутик отель Печора - Коми,124," 8,4 ",of-the-komi-representative-office.ru.html,,"11,6","6,7","12,1",,,,"12,1","12,1",,,,,"12,7","6,1",11,"12,7",,"11,1",
baltschug-kempinski-moscow.ru.html,,,1,,,1,,,,,,,,1,,,,,,1,,1,,,,1,1,,,,14160,5,7,,540," 8,7 ",baltschug-kempinski-moscow.ru.html,,"1,4","6,3","0,8",,,,"0,8","0,7",,"4,3",,,,,"3,7","5,8","0,8","2,1",
d3-4ndud-n-d-nnnd3-4-dddegd-n.ru.html,,,1,,,1,,,,,1,,1,1,,,,,,1,,,1,,,,,,,,20280,5,7,Руссо Балт Отель,209," 9,2 ",d3-4ndud-n-d-nnnd3-4-dddegd-n.ru.html,,"1,6","5,2","1,4",,,,"1,3","1,1",,"3,9",,,"1,8",,"3,8","4,8","1,7",,
renaissance-moscow-monarch.ru.html,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,5760,4,7,,523," 8,6 ",renaissance-moscow-monarch.ru.html,,"4,4",,"4,9",,,,"4,9","4,9",,"7,7",,,"5,5",,"4,1","7,5","5,9","4,2",
radisson-blu-olympiyskiy-moscow.ru.html,,,,,,1,,,,,1,1,,1,,,,,,1,1,1,,,,,,,,,7434,5,7,Рэдиссон Блу Олимпийский,13," 8,8 ",radisson-blu-olympiyskiy-moscow.ru.html,,"2,8","4,2","3,4",,"7,8",,"3,4","3,7",,,,,"3,8",,,"8,9","4,9","4,4",
president.ru.html,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,7650,4,7,Президент-Отель,3067," 8,5 ",president.ru.html,,"2,5","6,9",2,,,,"1,9","1,6",,"2,8",,,"1,8",,"4,9","4,4",,"1,9",
novotel-moscow-city.ru.html,,,1,,,1,,,,,,,,1,,,,,,1,1,1,,,,1,,,,,5000,4,7,,3722," 8,7 ",novotel-moscow-city.ru.html,,"5,3",5,"5,3",,,,"5,2",5,,"4,8",,,"5,8",,,"3,7","5,3","3,5",
tatiana.ru.html,,,,,,1,,,,,1,1,1,1,,,,,,1,,,,,,,1,,,,4800,4,7,Отель Татьяна,1193," 8,8 ",tatiana.ru.html,,"3,7",,"3,1",,,,3,"2,9",,"3,1",,,"2,6",,"5,9","5,1","1,7","3,5",
oranzh.ru.html,1,,1,,,1,,,,,1,,,1,,,,,,1,,,1,,,,,,,,4490,4,7,Отель Клементин,1857," 8,1 ",oranzh.ru.html,,"3,5",,"3,7",,"5,6",,"3,8",4,,,,,"3,6",,"2,7","9,7","4,8","5,4",
dd3-4d1-4-d1-2ddeg-dddegndod3-4d2dodu.ru.html,1,,1,,,1,,,,,1,,,1,,,,,,1,,,1,,,,,,,,3500,3,7,Дом на Маяковке ,2017," 8,3 ",dd3-4d1-4-d1-2ddeg-dddegndod3-4d2dodu.ru.html,,"1,6","3,6","2,1",,,,2,"2,1",,,,,"2,7",,"2,5","6,3","3,2","1,9",
apartamienty-na-sadovoi-kudrinskoi.ru.html,1,,1,,,,,,,,1,,,1,,1,,,,,1,,,,,,,,,,1000000,-,6,Guest House on Sadovoi-Kudrinskoy,236," 9,2 ",apartamienty-na-sadovoi-kudrinskoi.ru.html,,2,"3,7","2,3",,,,"2,2","2,2",,,,,"2,9",,"3,3","5,5","3,1","1,4",
korston-casino.ru.html,,,1,,,1,,,,,1,,,1,,,,,,1,1,1,,,,,,,,,5270,4,7,,1069," 8,0 ",korston-casino.ru.html,,7,,"6,6",,,"7,7","6,5","6,2",,"1,9",,,"6,5",,"9,3",,"5,3","5,3",
test-moskva12.ru.html,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,21000,-,3,Test,-,-,test-moskva12.ru.html,,"8,1","9,1","7,8",,,,"7,7","7,4",,"4,2",,,8,,"10,1",,7,"6,1",
dom-posutochnoi-arende.ru.html,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,110000,-,4,Дом посуточной аренде,-,-,dom-posutochnoi-arende.ru.html,,"15,9",,"15,5",,"12,6","11,5","15,6","15,6",,,"8,2",,"14,9",,,"18,4",15,,
dvukhkomnatnaia-kvartira-moskva1234567891011121314151617181920212223242526272834.ru.html,,,1,,,,,,,1,1,,1,1,,,,,,1,,,,,,,,,,,30000,-,6,Dvukhkomnatnaia kvartira,-,-,dvukhkomnatnaia-kvartira-moskva1234567891011121314151617181920212223242526272834.ru.html,,18,,"17,7",,,"16,4","17,6","17,3",,"13,4",,,"17,8",,,"11,7","16,7","16,1",
srystal-apartments.ru.html,,,,,,,,,,,1,,,1,,,,,,1,1,,,,,1,1,,,,16900,5,6,,46," 9,1 ",srystal-apartments.ru.html,,"5,4","4,8","5,4",,,,"5,3","5,2",,5,,,"5,9",,,4,"5,4","3,6",
standart-hotel.ru.html,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,1,1,,,,9630,5,7,Дизайн Отель СтандАрт. A Member of Design Hotels,1942," 9,2 ",standart-hotel.ru.html,,"0,9","4,2","1,5",,,,"1,4","1,6",,,,,"2,1",,"2,2","6,4","2,8","1,9",
four-seasons-moscow.ru.html,,,,,,1,,,,,1,,,1,,,,,,,1,1,,,,1,1,,,,34928,5,7,,331," 9,2 ",four-seasons-moscow.ru.html,,"0,4","5,2",,,"9,4",,,"0,5",,"4,8",,,1,,"2,8",6,"1,7","1,7",
randevu-moscow.ru.html,1,,,,,1,,,,,,,,1,,1,,,,1,,1,,1,,,,,,,15000,3,7,,14," 5,7 ",randevu-moscow.ru.html,,"5,4","4,3",6,,,,6,"6,3",,,,,"6,4",,3,"11,1","7,4","6,7",
mini-hotel-baymanskaya.ru.html,1,,,,,,,,,,,,1,1,,1,,,,1,,1,,,,,,,,,2000,-,6,Mini hotel Baymanskaya,182," 7,8 ",mini-hotel-baymanskaya.ru.html,,"4,1",,"4,1",,"5,1",,"4,2","4,5",,,,,"3,9",,"3,6",10,5,6,
mercure-moscow-paveletskaya-moscow.ru.html,,,1,,,1,,,,,,1,,1,,,,,,1,1,,,,,1,,,,,4200,4,7,Меркюр Москва Павелецкая,1296," 8,9 ",mercure-moscow-paveletskaya-moscow.ru.html,,"2,9","7,8","2,3",,,,"2,3","2,1",,"3,7",,,"1,8",,"5,1","5,6",,"3,1",
moss-boutique.ru.html,,,1,,,1,,,,,,1,,1,,,,,,1,,1,1,,,,,,,,12000,5,7,,383," 9,4 ",moss-boutique.ru.html,,"1,1","5,8","1,2",,,,"1,3","1,6",,,,,"1,2",,"2,3","7,2","2,4",3,
kvartira-v-zhilom-dome-moskva1.ru.html,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,20000,-,3,квартира в жилом доме,-,-,kvartira-v-zhilom-dome-moskva1.ru.html,,"14,6","11,5","15,2",,"13,8",,"15,2","15,5",,,,"13,3","15,6",,"12,2",,,"15,7",
sea-house-arbat.ru.html,,1,,,,,,,,,1,,,1,,,,,,1,1,,,,,,,,1,,18000,-,6,Sea house Arbat,-,-,sea-house-arbat.ru.html,,"2,5","4,6","2,5",,,,"2,4","2,2",,4,,,"2,9",,"4,3","4,4","2,7",,
kvartira-bataisk12345678910111213141516171819202122232425262728.ru.html,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,15000,-,2,Kvartira,-,-,kvartira-bataisk12345678910111213141516171819202122232425262728.ru.html,,"10,2",,"9,9",,,9,"9,8","9,5",,"5,2",,,"9,8",,,"3,9","8,7","8,4",
vip-moskva1.ru.html,1,,,,,1,,,,,,,1,1,,,,,,1,,1,1,,,,,,,,40250,-,7,Vip,-,-,vip-moskva1.ru.html,,"13,7","12,6",,,,,"13,5","13,3",,"10,6",,12,,"12,1",,"8,5","13,1","11,8",
kvartira-moskva12345678910111213141516171819202122232425262728293031323334351242.ru.html,,,,,,,,,,1,1,,1,1,,,,,,1,,1,,,,,,,,,12000,-,6,Kvartira,-,-,kvartira-moskva12345678910111213141516171819202122232425262728293031323334351242.ru.html,,"9,6","8,5","9,5",,,,"9,4","9,2",,"7,3",,"9,9",,,,"5,2","9,2","7,7",
khovrino.ru.html,1,,1,,,,,,,1,,,1,1,,,,,,1,,,,,,,,,,,23000,-,6,Khovrino,-,-,khovrino.ru.html,,"14,4","9,6",15,,,,"14,9","15,1",,,,"6,8",,"10,3","12,7","17,5",,"14,6",
komnata-v-kottedzhe-moskva.ru.html,,,,,,,,,1,,,,1,1,,1,,,,1,,,,,,,,,,,20000,-,5,Апартаменты на Чечерском,-,-,komnata-v-kottedzhe-moskva.ru.html,"10,1",,,,,,"16,9",,,,,,,,,,,,,
dr-loder-gorod-iakht.ru.html,,,,,,,,,,,,1,1,1,,,,,,,,,,,,1,1,1,,,15000,-,6,,-,-,dr-loder-gorod-iakht.ru.html,,"11,6","6,5","12,1",,,,"12,1","12,2",,,,,"12,7","7,7","10,5","13,6",,"11,4",
mini-venecia.ru.html,1,,,,,,,,,,1,,,1,,,,,,1,1,,,1,,,,,,,7999,2,6,Boutique Hotel Venezia 9,54," 7,7 ",mini-venecia.ru.html,,"1,1","4,5","1,6",,,,"1,7",2,,,,,"2,1",,"1,3","7,3","3,1","2,8",
kvartira-moskva12345678910111213141516171819202122232425262728293031323334353784.ru.html,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,80000,-,3,квартира,-,-,kvartira-moskva12345678910111213141516171819202122232425262728293031323334353784.ru.html,,"19,9",16,,"10,9","19,8",,,,"18,3",,,"14,8",,"17,8","17,7",,,,
gostevoi-dom-moskva1234.ru.html,1,,1,,,,,,,,,,1,1,,1,,,,,,1,,,,,,,,,24437,-,6,Гостевой дом,-,-,gostevoi-dom-moskva1234.ru.html,"7,9",,,,,,16,,,,16,,,,,,"14,9","19,4","19,4","19,2"
borodino-home.ru.html,,,1,,,,,,,,1,,1,1,,,,,,1,,1,,,,,,,,,31000,-,6,Borodino Home,-,-,borodino-home.ru.html,,"4,3",,"4,6",,5,,"4,7",5,,,,,"4,6",,"2,9","10,6","5,8","6,3",
